iter	Passed	Remaining
674	10754	5178
675	10765	5159
676	10776	5141
677	10785	5122
678	10802	5107
679	10825	5094
680	10840	5077
681	10851	5059
682	10866	5043
683	10880	5026
684	10892	5008
685	10907	4992
686	10915	4973
687	10929	4956
688	10939	4937
689	10956	4922
690	10969	4905
691	10981	4887
692	10996	4871
693	11007	4853
694	11019	4835
695	11038	4821
696	11053	4805
697	11064	4787
698	11076	4769
699	11101	4757
700	11134	4749
701	11155	4735
702	11180	4723
703	11210	4713
704	11231	4699
705	11248	4684
706	11276	4673
707	11294	4658
708	11310	4642
709	11333	4629
710	11355	4615
711	11380	4603
712	11406	4591
713	11425	4576
714	11451	4564
715	11478	4552
716	11505	4541
717	11528	4527
718	11546	4512
719	11562	4496
720	11583	4482
721	11603	4467
722	11629	4455
723	11651	4441
724	11667	4425
725	11684	4409
726	11696	4392
727	11718	4378
728	11746	4366
729	11762	4350
730	11782	4335
731	11801	4320
732	11822	4306
733	11838	4290
734	11854	4274
735	11874	4259
736	11887	4242
737	11904	4226
738	11922	4210
739	11944	4196
740	11958	4179
741	11980	4165
742	11996	4149
743	12017	4134
744	12034	4119
745	12049	4102
746	12061	4085
747	12085	4071
748	12107	4057
749	12126	4042
750	12141	4025
751	12155	4008
752	12180	3995
753	12199	3980
754	12221	3965
755	12238	3949
756	12268	3938
757	12287	3923
758	12311	3909
759	12326	3892
760	12340	3875
761	12355	3859
762	12365	3840
763	12381	3824
764	12393	3807
765	12411	3791
766	12427	3775
767	12445	3759
768	12460	3743
769	12471	3725
770	12484	3708
771	12501	3692
772	12515	3675
773	12535	3660
774	12549	3643
775	12566	3627
776	12586	3612
777	12610	3598
778	12625	3581
779	12650	3568
780	12667	3552
781	12683	3535
782	12706	3521
783	12724	3505
784	12748	3491
785	12776	3478
786	12791	3462
787	12804	3444
788	12818	3428
789	12837	3412
790	12855	3396
791	12875	3381
792	12899	3367
793	12922	3352
794	12935	3335
795	12961	3321
796	12982	3306
797	13003	3291
798	13026	3277
799	13046	3261
800	13064	3245
801	13084	3230
802	13099	3213
803	13119	3198
804	13157	3187
805	13174	3171
806	13187	3153
807	13205	3137
808	13227	3123
809	13246	3107
810	13261	3090
811	13285	3076
812	13310	3061
813	13326	3045
814	13354	3031
815	13376	3016
816	13392	2999
817	13408	2983
818	13418	2965
819	13445	2951
820	13464	2935
821	13481	2919
822	13503	2904
823	13532	2890
824	13547	2873
825	13565	2857
826	13584	2841
827	13608	2826
828	13641	2813
829	13671	2800
830	13687	2783
831	13705	2767
832	13721	2750
833	13744	2735
834	13763	2719
835	13780	2703
836	13795	2686
837	13810	2669
838	13826	2653
839	13849	2637
840	13869	2622
841	13888	2606
842	13911	2590
843	13928	2574
844	13943	2557
845	13964	2542
846	13983	2526
847	13993	2508
848	14013	2492
849	14046	2478
850	14069	2463
851	14086	2446
852	14099	2429
853	14114	2413
854	14136	2397
855	14157	2381
856	14172	2364
857	14184	2347
858	14193	2329
859	14206	2312
860	14222	2296
861	14234	2278
862	14254	2262
863	14280	2247
864	14295	2231
865	14319	2215
866	14340	2199
867	14350	2182
868	14373	2166
869	14390	2150
870	14414	2134
871	14429	2118
872	14455	2102
873	14468	2085
874	14482	2068
875	14497	2052
876	14513	2035
877	14528	2018
878	14540	2001
879	14555	1984
880	14574	1968
881	14598	1953
882	14614	1936
883	14635	1920
884	14651	1903
885	14668	1887
886	14687	1871
887	14706	1854
888	14731	1839
889	14750	1823
890	14779	1808
891	14799	1791
892	14820	1775
893	14835	1759
894	14857	1743
895	14870	1726
896	14884	1709
897	14904	1692
898	14923	1676
899	14946	1660
900	14961	1643
901	14983	1627
902	15001	1611
903	15023	1595
904	15041	1578
905	15067	1563
906	15103	1548
907	15136	1533
908	15165	1518
909	15178	1501
910	15204	1485
911	15226	1469
912	15239	1452
913	15259	1435
914	15275	1419
915	15288	1401
916	15302	1385
917	15329	1369
918	15343	1352
919	15361	1335
920	15374	1318
921	15399	1302
922	15411	1285
923	15432	1269
924	15457	1253
925	15481	1237
926	15496	1220
927	15511	1203
928	15527	1186
929	15548	1170
930	15564	1153
931	15580	1136
932	15595	1119
933	15613	1103
934	15624	1086
935	15638	1069
936	15650	1052
937	15664	1035
938	15682	1018
939	15696	1001
940	15724	985
941	15744	969
942	15759	952
943	15774	935
944	15794	919
945	15805	902
946	15828	885
947	15841	868
948	15860	852
949	15870	835
950	15890	818
951	15903	801
952	15920	785
953	15951	769
954	15969	752
955	15985	735
956	16004	719
957	16019	702
958	16031	685
959	16047	668
960	16063	651
961	16082	635
962	16094	618
963	16110	601
964	16124	584
965	16141	568
966	16156	551
967	16171	534
968	16185	517
969	16205	501
970	16217	484
971	16232	467
972	16257	451
973	16274	434
974	16289	417
975	16302	400
976	16324	384
977	16340	367
978	16363	351
979	16383	334
980	16398	317
981	16412	300
982	16431	284
983	16455	267
984	16471	250
985	16494	234
986	16515	217
987	16536	200
988	16553	184
989	16567	167
990	16587	150
991	16602	133
992	16613	117
993	16639	100
994	16656	83
995	16671	66
996	16689	50
997	16706	33
998	16721	16
999	16741	0
